T:572704,AX:2.37,AY:1.83,AZ:9.93,GX:-73.54,GY:-9.58,GZ:86.73
T:572714,AX:2.80,AY:1.38,AZ:7.98,GX:-68.90,GY:-12.32,GZ:90.27
T:572724,AX:3.00,AY:1.13,AZ:7.96,GX:-56.51,GY:3.70,GZ:95.92
T:572734,AX:2.81,AY:1.05,AZ:7.60,GX:-45.46,GY:8.32,GZ:98.39
T:572744,AX:3.24,AY:1.74,AZ:8.26,GX:-34.82,GY:24.61,GZ:101.16
T:572754,AX:3.28,AY:0.47,AZ:11.28,GX:-43.87,GY:14.85,GZ:104.82
T:572764,AX:2.55,AY:-0.06,AZ:9.96,GX:-71.31,GY:-11.20,GZ:87.51
T:572774,AX:2.74,AY:0.18,AZ:8.62,GX:-74.48,GY:-10.39,GZ:78.06
T:572784,AX:2.92,AY:0.18,AZ:8.78,GX:-72.41,GY:-7.66,GZ:75.11
T:572794,AX:3.14,AY:-0.60,AZ:9.70,GX:-79.20,GY:-9.61,GZ:68.58
T:572804,AX:3.22,AY:-0.98,AZ:8.90,GX:-97.70,GY:-15.74,GZ:54.80
T:572814,AX:3.59,AY:-0.20,AZ:8.37,GX:-107.26,GY:-8.01,GZ:50.56
T:572824,AX:3.78,AY:-0.44,AZ:8.99,GX:-108.80,GY:-3.00,GZ:54.74
T:572834,AX:3.73,AY:-0.26,AZ:10.19,GX:-113.95,GY:-4.94,GZ:54.48
T:572844,AX:3.89,AY:0.11,AZ:9.86,GX:-116.73,GY:-12.19,GZ:65.61
T:572854,AX:4.05,AY:-0.26,AZ:8.92,GX:-106.45,GY:-14.00,GZ:78.45
T:572864,AX:3.74,AY:0.05,AZ:8.59,GX:-84.06,GY:-8.59,GZ:92.83
T:572874,AX:3.51,AY:-0.85,AZ:9.53,GX:-70.94,GY:-6.15,GZ:103.66
T:572884,AX:3.19,AY:-0.79,AZ:8.63,GX:-53.28,GY:-12.51,GZ:108.68
T:572894,AX:2.92,AY:-1.15,AZ:8.58,GX:-21.02,GY:-12.27,GZ:120.12
T:572904,AX:3.00,AY:-0.51,AZ:8.43,GX:19.40,GY:-17.81,GZ:129.52
